n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
5000,100000.0,2000,100,msd,gaussian,10.230940818786621,1.091353362491804e-06,0.1862645149230957
5000,100000.0,2000,200,msd,gaussian,10.230940818786621,1.9115587898454232e-07,0.1862645149230957
5000,100000.0,2000,300,msd,gaussian,10.230940818786621,7.842174401386474e-08,0.1862645149230957
5000,100000.0,2000,400,msd,gaussian,10.230940818786621,4.094042354910198e-08,0.1862645149230957
5000,100000.0,2000,500,msd,gaussian,10.230940818786621,2.3928736788458846e-08,0.1862645149230957
5000,100000.0,2000,600,msd,gaussian,10.230940818786621,1.5083984354187945e-08,0.1862645149230957
5000,100000.0,2000,700,msd,gaussian,10.230940818786621,9.987698314933331e-09,0.1862645149230957
5000,100000.0,2000,800,msd,gaussian,10.230940818786621,6.8835890319415375e-09,0.1862645149230957
5000,100000.0,2000,900,msd,gaussian,10.230940818786621,4.9111928191228734e-09,0.1862645149230957
5000,100000.0,2000,1000,msd,gaussian,10.230940818786621,3.6266004302256416e-09,0.1862645149230957
