Sweep over l=[600, 1000, 2000, 2500, 3000] and k=[100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]
Loading MSD set (n=5000)
Building RBF kernel matrix A
Nuclear norm of A: 5.000000e+03

--- Running l=600 ---
l=600, k=100: Time=1.3368s Error=1.101013e-06
l=600, k=200: Time=1.3368s Error=2.099065e-07
l=600, k=300: Time=1.3368s Error=1.048973e-07
l=600, k=400: Time=1.3368s Error=7.381140e-08
l=600, k=500: Time=1.3368s Error=6.201375e-08
l=600, k=600: Time=1.3368s Error=5.753002e-08
l=600, k=700: Time=1.3368s Error=5.753002e-08
l=600, k=800: Time=1.3368s Error=5.753002e-08
l=600, k=900: Time=1.3368s Error=5.753002e-08
l=600, k=1000: Time=1.3368s Error=5.753002e-08

--- Running l=1000 ---
l=1000, k=100: Time=2.8633s Error=1.092660e-06
l=1000, k=200: Time=2.8633s Error=1.938060e-07
l=1000, k=300: Time=2.8633s Error=8.234883e-08
l=1000, k=400: Time=2.8633s Error=4.607260e-08
l=1000, k=500: Time=2.8633s Error=3.015773e-08
l=1000, k=600: Time=2.8633s Error=2.229683e-08
l=1000, k=700: Time=2.8633s Error=1.808664e-08
l=1000, k=800: Time=2.8633s Error=1.576170e-08
l=1000, k=900: Time=2.8633s Error=1.450148e-08
l=1000, k=1000: Time=2.8633s Error=1.387393e-08

--- Running l=2000 ---
l=2000, k=100: Time=10.0134s Error=1.091353e-06
l=2000, k=200: Time=10.0134s Error=1.911559e-07
l=2000, k=300: Time=10.0134s Error=7.842174e-08
l=2000, k=400: Time=10.0134s Error=4.094042e-08
l=2000, k=500: Time=10.0134s Error=2.392874e-08
l=2000, k=600: Time=10.0134s Error=1.508398e-08
l=2000, k=700: Time=10.0134s Error=9.987698e-09
l=2000, k=800: Time=10.0134s Error=6.883589e-09
l=2000, k=900: Time=10.0134s Error=4.911193e-09
l=2000, k=1000: Time=10.0134s Error=3.626600e-09

--- Running l=2500 ---
l=2500, k=100: Time=16.4535s Error=1.091318e-06
l=2500, k=200: Time=16.4535s Error=1.910839e-07
l=2500, k=300: Time=16.4535s Error=7.831329e-08
l=2500, k=400: Time=16.4535s Error=4.079663e-08
l=2500, k=500: Time=16.4535s Error=2.374928e-08
l=2500, k=600: Time=16.4535s Error=1.487035e-08
l=2500, k=700: Time=16.4535s Error=9.739721e-09
l=2500, k=800: Time=16.4535s Error=6.602091e-09
l=2500, k=900: Time=16.4535s Error=4.597593e-09
l=2500, k=1000: Time=16.4535s Error=3.281453e-09

--- Running l=3000 ---
l=3000, k=100: Time=24.9277s Error=1.091309e-06
l=3000, k=200: Time=24.9277s Error=1.910669e-07
l=3000, k=300: Time=24.9277s Error=7.828778e-08
l=3000, k=400: Time=24.9277s Error=4.076265e-08
l=3000, k=500: Time=24.9277s Error=2.370695e-08
l=3000, k=600: Time=24.9277s Error=1.481954e-08
l=3000, k=700: Time=24.9277s Error=9.680528e-09
l=3000, k=800: Time=24.9277s Error=6.534578e-09
l=3000, k=900: Time=24.9277s Error=4.521743e-09
l=3000, k=1000: Time=24.9277s Error=3.197500e-09

Saved results and plots to results/sequential_4146886/20260122_021012
