Sweep over l=[600, 1000, 2000, 2500, 3000] and k=[100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]
Loading MSD set (n=10000)
Building RBF kernel matrix A
Nuclear norm of A: 1.000000e+04

--- Running l=600 ---
l=600, k=100: Time=3.9524s Error=1.407207e-06
l=600, k=200: Time=3.9524s Error=3.025250e-07
l=600, k=300: Time=3.9524s Error=1.641277e-07
l=600, k=400: Time=3.9524s Error=1.208027e-07
l=600, k=500: Time=3.9524s Error=1.039066e-07
l=600, k=600: Time=3.9524s Error=9.717627e-08
l=600, k=700: Time=3.9524s Error=9.717627e-08
l=600, k=800: Time=3.9524s Error=9.717627e-08
l=600, k=900: Time=3.9524s Error=9.717627e-08
l=600, k=1000: Time=3.9524s Error=9.717627e-08

--- Running l=1000 ---
l=1000, k=100: Time=7.5284s Error=1.393838e-06
l=1000, k=200: Time=7.5284s Error=2.765620e-07
l=1000, k=300: Time=7.5284s Error=1.276919e-07
l=1000, k=400: Time=7.5284s Error=7.643760e-08
l=1000, k=500: Time=7.5284s Error=5.306354e-08
l=1000, k=600: Time=7.5284s Error=4.109269e-08
l=1000, k=700: Time=7.5284s Error=3.446477e-08
l=1000, k=800: Time=7.5284s Error=3.068797e-08
l=1000, k=900: Time=7.5284s Error=2.853856e-08
l=1000, k=1000: Time=7.5284s Error=2.741173e-08

--- Running l=2000 ---
l=2000, k=100: Time=21.5922s Error=1.391272e-06
l=2000, k=200: Time=21.5922s Error=2.714249e-07
l=2000, k=300: Time=21.5922s Error=1.201252e-07
l=2000, k=400: Time=21.5922s Error=6.658674e-08
l=2000, k=500: Time=21.5922s Error=4.116247e-08
l=2000, k=600: Time=21.5922s Error=2.737318e-08
l=2000, k=700: Time=21.5922s Error=1.915803e-08
l=2000, k=800: Time=21.5922s Error=1.395355e-08
l=2000, k=900: Time=21.5922s Error=1.051711e-08
l=2000, k=1000: Time=21.5922s Error=8.191285e-09

--- Running l=2500 ---
l=2500, k=100: Time=31.7742s Error=1.391174e-06
l=2500, k=200: Time=31.7742s Error=2.712286e-07
l=2500, k=300: Time=31.7742s Error=1.198289e-07
l=2500, k=400: Time=31.7742s Error=6.619318e-08
l=2500, k=500: Time=31.7742s Error=4.067367e-08
l=2500, k=600: Time=31.7742s Error=2.679058e-08
l=2500, k=700: Time=31.7742s Error=1.848506e-08
l=2500, k=800: Time=31.7742s Error=1.319209e-08
l=2500, k=900: Time=31.7742s Error=9.671176e-09
l=2500, k=1000: Time=31.7742s Error=7.264226e-09

--- Running l=3000 ---
l=3000, k=100: Time=44.6372s Error=1.391145e-06
l=3000, k=200: Time=44.6372s Error=2.711715e-07
l=3000, k=300: Time=44.6372s Error=1.197427e-07
l=3000, k=400: Time=44.6372s Error=6.607846e-08
l=3000, k=500: Time=44.6372s Error=4.053077e-08
l=3000, k=600: Time=44.6372s Error=2.661944e-08
l=3000, k=700: Time=44.6372s Error=1.828604e-08
l=3000, k=800: Time=44.6372s Error=1.296577e-08
l=3000, k=900: Time=44.6372s Error=9.418212e-09
l=3000, k=1000: Time=44.6372s Error=6.985147e-09

Saved results and plots to results/sequential_4146869/20260122_053548
