timestamp,job_id,dataset,n,c,sketch,P,q,l,k,t_total,t_parallel_kernel,t_sketch,t_C_matmul,t_C_reduce,t_B_matmul,t_B_allreduce,t_C_gather,t_factorization,rel_error
20260122_005524,4146667,msd,10000,100000.0,gaussian,1,1,2000,500,21.923567076,10.375536437,0.632037923,8.568606985,0.05784487499999891,1.7384953159999998,0.010589260999999794,0.050617859999999126,10.801442644000002,nan
20260122_005604,4146667,msd,10000,100000.0,gaussian,4,2,2000,500,19.714279388,5.832179591,0.43313860299999996,4.093377743,0.06141984300000036,1.6279601650000002,0.04942183999999994,0.06360435900000017,13.270640801999999,nan
20260122_005641,4146667,msd,10000,100000.0,gaussian,9,3,2000,500,17.234239887,3.0440775909999993,0.28191785900000005,1.830720205,0.05420504799999959,1.0931868109999998,0.06596552699999991,0.061574194000000304,13.749622847,nan
20260122_005721,4146667,msd,10000,100000.0,gaussian,16,4,2000,500,16.035753376,2.0009132339999995,0.21668574799999998,1.045527454,0.07388338800000005,0.833376312,0.04812607999999985,0.06318304600000024,13.628133022,nan
20260122_005801,4146667,msd,10000,100000.0,gaussian,36,6,2000,500,15.180333465,1.2859605340000002,0.152356923,0.528298724,0.07082260500000004,0.6022286840000001,0.0846105210000001,0.06380406099999991,13.530077338,nan
20260122_005844,4146667,msd,10000,100000.0,gaussian,64,8,2000,500,15.202009488,1.02572586,0.125412785,0.324829429,0.09055362600000005,0.512330501,0.09801230400000005,0.0664834110000001,13.752871878999999,nan
