n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
10000,100000.0,2000,100,msd,gaussian,21.658885955810547,1.3912720750242115e-06,0.7450580596923828
10000,100000.0,2000,200,msd,gaussian,21.658885955810547,2.7142493433026374e-07,0.7450580596923828
10000,100000.0,2000,300,msd,gaussian,21.658885955810547,1.2012518288795872e-07,0.7450580596923828
10000,100000.0,2000,400,msd,gaussian,21.658885955810547,6.658674251509598e-08,0.7450580596923828
10000,100000.0,2000,500,msd,gaussian,21.658885955810547,4.11624700053998e-08,0.7450580596923828
10000,100000.0,2000,600,msd,gaussian,21.658885955810547,2.7373175274050392e-08,0.7450580596923828
10000,100000.0,2000,700,msd,gaussian,21.658885955810547,1.9158031352358022e-08,0.7450580596923828
10000,100000.0,2000,800,msd,gaussian,21.658885955810547,1.395355231870666e-08,0.7450580596923828
10000,100000.0,2000,900,msd,gaussian,21.658885955810547,1.0517108371223744e-08,0.7450580596923828
10000,100000.0,2000,1000,msd,gaussian,21.658885955810547,8.191285383691034e-09,0.7450580596923828
