n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
10000,10000.0,600,100,mnist,srht,3.905517816543579,0.007514893255939729,0.7450580596923828
10000,10000.0,600,200,mnist,srht,3.905517816543579,0.004531225855920308,0.7450580596923828
10000,10000.0,600,300,mnist,srht,3.905517816543579,0.0034927987503233183,0.7450580596923828
10000,10000.0,600,400,mnist,srht,3.905517816543579,0.0030335094631796385,0.7450580596923828
10000,10000.0,600,500,mnist,srht,3.905517816543579,0.0028429538395621785,0.7450580596923828
10000,10000.0,600,600,mnist,srht,3.905517816543579,0.002768099761233094,0.7450580596923828
10000,10000.0,600,700,mnist,srht,3.905517816543579,0.002768099761233094,0.7450580596923828
10000,10000.0,600,800,mnist,srht,3.905517816543579,0.002768099761233094,0.7450580596923828
10000,10000.0,600,900,mnist,srht,3.905517816543579,0.002768099761233094,0.7450580596923828
10000,10000.0,600,1000,mnist,srht,3.905517816543579,0.002768099761233094,0.7450580596923828
10000,10000.0,1000,100,mnist,srht,7.404262542724609,0.00723298606083927,0.7450580596923828
10000,10000.0,1000,200,mnist,srht,7.404262542724609,0.004033850466810662,0.7450580596923828
10000,10000.0,1000,300,mnist,srht,7.404262542724609,0.002825558293137205,0.7450580596923828
10000,10000.0,1000,400,mnist,srht,7.404262542724609,0.0022228024753622876,0.7450580596923828
10000,10000.0,1000,500,mnist,srht,7.404262542724609,0.001923658919269284,0.7450580596923828
10000,10000.0,1000,600,mnist,srht,7.404262542724609,0.0017727393124118446,0.7450580596923828
10000,10000.0,1000,700,mnist,srht,7.404262542724609,0.0016883752955179053,0.7450580596923828
10000,10000.0,1000,800,mnist,srht,7.404262542724609,0.0016370224121302094,0.7450580596923828
10000,10000.0,1000,900,mnist,srht,7.404262542724609,0.0016037660226414247,0.7450580596923828
10000,10000.0,1000,1000,mnist,srht,7.404262542724609,0.0015824778142471143,0.7450580596923828
10000,10000.0,2000,100,mnist,srht,21.13731074333191,0.0071154782763537755,0.7450580596923828
10000,10000.0,2000,200,mnist,srht,21.13731074333191,0.0038115571654776617,0.7450580596923828
10000,10000.0,2000,300,mnist,srht,21.13731074333191,0.0025089399491700602,0.7450580596923828
10000,10000.0,2000,400,mnist,srht,21.13731074333191,0.0018210985828769342,0.7450580596923828
10000,10000.0,2000,500,mnist,srht,21.13731074333191,0.0014495340663222163,0.7450580596923828
10000,10000.0,2000,600,mnist,srht,21.13731074333191,0.0012435488685192603,0.7450580596923828
10000,10000.0,2000,700,mnist,srht,21.13731074333191,0.0011161166409689245,0.7450580596923828
10000,10000.0,2000,800,mnist,srht,21.13731074333191,0.0010304336177192003,0.7450580596923828
10000,10000.0,2000,900,mnist,srht,21.13731074333191,0.0009689241108312198,0.7450580596923828
10000,10000.0,2000,1000,mnist,srht,21.13731074333191,0.0009224760608608524,0.7450580596923828
10000,10000.0,2500,100,mnist,srht,31.559102058410645,0.007101499096268434,0.7450580596923828
10000,10000.0,2500,200,mnist,srht,31.559102058410645,0.00378425941329417,0.7450580596923828
10000,10000.0,2500,300,mnist,srht,31.559102058410645,0.0024685778367371687,0.7450580596923828
10000,10000.0,2500,400,mnist,srht,31.559102058410645,0.0017683885743192147,0.7450580596923828
10000,10000.0,2500,500,mnist,srht,31.559102058410645,0.0013854958046916508,0.7450580596923828
10000,10000.0,2500,600,mnist,srht,31.559102058410645,0.0011696959334508157,0.7450580596923828
10000,10000.0,2500,700,mnist,srht,31.559102058410645,0.0010337817743492842,0.7450580596923828
10000,10000.0,2500,800,mnist,srht,31.559102058410645,0.0009408784878294414,0.7450580596923828
10000,10000.0,2500,900,mnist,srht,31.559102058410645,0.0008731605309747164,0.7450580596923828
10000,10000.0,2500,1000,mnist,srht,31.559102058410645,0.0008212751684365532,0.7450580596923828
10000,10000.0,3000,100,mnist,srht,44.887895584106445,0.007093783454728292,0.7450580596923828
10000,10000.0,3000,200,mnist,srht,44.887895584106445,0.0037690685772130564,0.7450580596923828
10000,10000.0,3000,300,mnist,srht,44.887895584106445,0.0024460388389834897,0.7450580596923828
10000,10000.0,3000,400,mnist,srht,44.887895584106445,0.0017386977296527733,0.7450580596923828
10000,10000.0,3000,500,mnist,srht,44.887895584106445,0.0013490442980934902,0.7450580596923828
10000,10000.0,3000,600,mnist,srht,44.887895584106445,0.0011272434299640325,0.7450580596923828
10000,10000.0,3000,700,mnist,srht,44.887895584106445,0.0009859518546046903,0.7450580596923828
10000,10000.0,3000,800,mnist,srht,44.887895584106445,0.0008882943691494212,0.7450580596923828
10000,10000.0,3000,900,mnist,srht,44.887895584106445,0.0008163465190327749,0.7450580596923828
10000,10000.0,3000,1000,mnist,srht,44.887895584106445,0.000760774047525614,0.7450580596923828
