n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
10000,100000.0,600,100,msd,gaussian,3.952443838119507,1.4072069895027925e-06,0.7450580596923828
10000,100000.0,600,200,msd,gaussian,3.952443838119507,3.0252496381366217e-07,0.7450580596923828
10000,100000.0,600,300,msd,gaussian,3.952443838119507,1.6412770640135038e-07,0.7450580596923828
10000,100000.0,600,400,msd,gaussian,3.952443838119507,1.2080269282088742e-07,0.7450580596923828
10000,100000.0,600,500,msd,gaussian,3.952443838119507,1.0390656988867905e-07,0.7450580596923828
10000,100000.0,600,600,msd,gaussian,3.952443838119507,9.717626731565175e-08,0.7450580596923828
10000,100000.0,600,700,msd,gaussian,3.952443838119507,9.717626731565175e-08,0.7450580596923828
10000,100000.0,600,800,msd,gaussian,3.952443838119507,9.717626731565175e-08,0.7450580596923828
10000,100000.0,600,900,msd,gaussian,3.952443838119507,9.717626731565175e-08,0.7450580596923828
10000,100000.0,600,1000,msd,gaussian,3.952443838119507,9.717626731565175e-08,0.7450580596923828
10000,100000.0,1000,100,msd,gaussian,7.528383255004883,1.3938375607687391e-06,0.7450580596923828
10000,100000.0,1000,200,msd,gaussian,7.528383255004883,2.765620475594167e-07,0.7450580596923828
10000,100000.0,1000,300,msd,gaussian,7.528383255004883,1.2769188522073076e-07,0.7450580596923828
10000,100000.0,1000,400,msd,gaussian,7.528383255004883,7.64376044613845e-08,0.7450580596923828
10000,100000.0,1000,500,msd,gaussian,7.528383255004883,5.306353722730333e-08,0.7450580596923828
10000,100000.0,1000,600,msd,gaussian,7.528383255004883,4.109269495816772e-08,0.7450580596923828
10000,100000.0,1000,700,msd,gaussian,7.528383255004883,3.4464768565928034e-08,0.7450580596923828
10000,100000.0,1000,800,msd,gaussian,7.528383255004883,3.0687967324419895e-08,0.7450580596923828
10000,100000.0,1000,900,msd,gaussian,7.528383255004883,2.8538555271834987e-08,0.7450580596923828
10000,100000.0,1000,1000,msd,gaussian,7.528383255004883,2.7411727361170696e-08,0.7450580596923828
10000,100000.0,2000,100,msd,gaussian,21.592167377471924,1.3912720750242115e-06,0.7450580596923828
10000,100000.0,2000,200,msd,gaussian,21.592167377471924,2.7142493433026374e-07,0.7450580596923828
10000,100000.0,2000,300,msd,gaussian,21.592167377471924,1.2012518288795872e-07,0.7450580596923828
10000,100000.0,2000,400,msd,gaussian,21.592167377471924,6.658674251509598e-08,0.7450580596923828
10000,100000.0,2000,500,msd,gaussian,21.592167377471924,4.11624700053998e-08,0.7450580596923828
10000,100000.0,2000,600,msd,gaussian,21.592167377471924,2.7373175274050392e-08,0.7450580596923828
10000,100000.0,2000,700,msd,gaussian,21.592167377471924,1.9158031352358022e-08,0.7450580596923828
10000,100000.0,2000,800,msd,gaussian,21.592167377471924,1.395355231870666e-08,0.7450580596923828
10000,100000.0,2000,900,msd,gaussian,21.592167377471924,1.0517108371223744e-08,0.7450580596923828
10000,100000.0,2000,1000,msd,gaussian,21.592167377471924,8.191285383691034e-09,0.7450580596923828
10000,100000.0,2500,100,msd,gaussian,31.774183750152588,1.3911742820499148e-06,0.7450580596923828
10000,100000.0,2500,200,msd,gaussian,31.774183750152588,2.7122860009732925e-07,0.7450580596923828
10000,100000.0,2500,300,msd,gaussian,31.774183750152588,1.1982889502108945e-07,0.7450580596923828
10000,100000.0,2500,400,msd,gaussian,31.774183750152588,6.619317525748621e-08,0.7450580596923828
10000,100000.0,2500,500,msd,gaussian,31.774183750152588,4.067367367687488e-08,0.7450580596923828
10000,100000.0,2500,600,msd,gaussian,31.774183750152588,2.6790584981442036e-08,0.7450580596923828
10000,100000.0,2500,700,msd,gaussian,31.774183750152588,1.8485056986845368e-08,0.7450580596923828
10000,100000.0,2500,800,msd,gaussian,31.774183750152588,1.3192087787963281e-08,0.7450580596923828
10000,100000.0,2500,900,msd,gaussian,31.774183750152588,9.671175597197417e-09,0.7450580596923828
10000,100000.0,2500,1000,msd,gaussian,31.774183750152588,7.264225752081881e-09,0.7450580596923828
10000,100000.0,3000,100,msd,gaussian,44.63717842102051,1.391145412488511e-06,0.7450580596923828
10000,100000.0,3000,200,msd,gaussian,44.63717842102051,2.7117154206017147e-07,0.7450580596923828
10000,100000.0,3000,300,msd,gaussian,44.63717842102051,1.1974267933432628e-07,0.7450580596923828
10000,100000.0,3000,400,msd,gaussian,44.63717842102051,6.60784644004861e-08,0.7450580596923828
10000,100000.0,3000,500,msd,gaussian,44.63717842102051,4.0530772024258614e-08,0.7450580596923828
10000,100000.0,3000,600,msd,gaussian,44.63717842102051,2.661944273571328e-08,0.7450580596923828
10000,100000.0,3000,700,msd,gaussian,44.63717842102051,1.828604195374736e-08,0.7450580596923828
10000,100000.0,3000,800,msd,gaussian,44.63717842102051,1.2965773154137349e-08,0.7450580596923828
10000,100000.0,3000,900,msd,gaussian,44.63717842102051,9.418212361805055e-09,0.7450580596923828
10000,100000.0,3000,1000,msd,gaussian,44.63717842102051,6.985146539866282e-09,0.7450580596923828
