timestamp,job_id,dataset,n,c,sketch,P,q,l,k,t_total,t_parallel_kernel,t_sketch,t_C_matmul,t_C_reduce,t_B_matmul,t_B_allreduce,t_C_gather,t_factorization,rel_error
20260122_012258,4146790,msd,40000,100000.0,gaussian,1,1,2000,500,178.457978103,142.333927236,2.542552023,135.305740883,0.2056188329999884,6.811969588000011,0.010597931999996035,0.1981968960000131,33.28773265200002,nan
20260122_012725,4146790,msd,40000,100000.0,gaussian,4,2,2000,500,115.38555863,71.687315665,1.678212629,64.946248117,0.21814525199999935,6.481221958000006,0.04170033799999828,0.22798896899999477,41.615346771999995,nan
20260122_013117,4146790,msd,40000,100000.0,gaussian,9,3,2000,500,78.15265182,33.784601544000004,1.1664425619999998,29.151119338,0.2412044239999993,4.3417079690000016,0.05056981300000274,0.23363331499999873,42.819624606000005,nan
20260122_013453,4146790,msd,40000,100000.0,gaussian,16,4,2000,500,63.891175122,20.290538211000005,0.87915788,16.630123506,0.2694620900000011,3.343138304,0.04781431100000333,0.24166394399999902,42.324660673000004,nan
20260122_013817,4146790,msd,40000,100000.0,gaussian,36,6,2000,500,54.357179814,10.572419663000002,0.6200019680000001,7.8251474000000005,0.26966572100000086,2.360285222,0.11732132000000028,0.23497002199999883,42.779748706999996,nan
20260122_014140,4146790,msd,40000,100000.0,gaussian,64,8,2000,500,51.747545836,7.392888145000001,0.46397761499999995,4.958136022000001,0.35324832900000036,1.98524456,0.0962592339999997,0.23039617100000065,43.351840572,nan
