n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
5000,10000.0,600,100,mnist,gaussian,1.3517935276031494,0.007111828500567684,0.1862645149230957
5000,10000.0,600,200,mnist,gaussian,1.3517935276031494,0.004085085355967329,0.1862645149230957
5000,10000.0,600,300,mnist,gaussian,1.3517935276031494,0.0030811923714180295,0.1862645149230957
5000,10000.0,600,400,mnist,gaussian,1.3517935276031494,0.0026476738037142502,0.1862645149230957
5000,10000.0,600,500,mnist,gaussian,1.3517935276031494,0.002464612963589272,0.1862645149230957
5000,10000.0,600,600,mnist,gaussian,1.3517935276031494,0.0023867283695587086,0.1862645149230957
5000,10000.0,600,700,mnist,gaussian,1.3517935276031494,0.0023867283695587086,0.1862645149230957
5000,10000.0,600,800,mnist,gaussian,1.3517935276031494,0.0023867283695587086,0.1862645149230957
5000,10000.0,600,900,mnist,gaussian,1.3517935276031494,0.0023867283695587086,0.1862645149230957
5000,10000.0,600,1000,mnist,gaussian,1.3517935276031494,0.0023867283695587086,0.1862645149230957
5000,10000.0,1000,100,mnist,gaussian,2.89353346824646,0.006858219414872729,0.1862645149230957
5000,10000.0,1000,200,mnist,gaussian,2.89353346824646,0.0036305243030118617,0.1862645149230957
5000,10000.0,1000,300,mnist,gaussian,2.89353346824646,0.002469895880653908,0.1862645149230957
5000,10000.0,1000,400,mnist,gaussian,2.89353346824646,0.0019083733149800374,0.1862645149230957
5000,10000.0,1000,500,mnist,gaussian,2.89353346824646,0.0016305849134911356,0.1862645149230957
5000,10000.0,1000,600,mnist,gaussian,2.89353346824646,0.0014844894094740585,0.1862645149230957
5000,10000.0,1000,700,mnist,gaussian,2.89353346824646,0.0013981247086481492,0.1862645149230957
5000,10000.0,1000,800,mnist,gaussian,2.89353346824646,0.0013423306703045476,0.1862645149230957
5000,10000.0,1000,900,mnist,gaussian,2.89353346824646,0.0013043851995589604,0.1862645149230957
5000,10000.0,1000,1000,mnist,gaussian,2.89353346824646,0.001278820385615376,0.1862645149230957
5000,10000.0,2000,100,mnist,gaussian,10.21654462814331,0.006754651405605947,0.1862645149230957
5000,10000.0,2000,200,mnist,gaussian,10.21654462814331,0.0034329130843400706,0.1862645149230957
5000,10000.0,2000,300,mnist,gaussian,10.21654462814331,0.002188070020962884,0.1862645149230957
5000,10000.0,2000,400,mnist,gaussian,10.21654462814331,0.0015515035533372162,0.1862645149230957
5000,10000.0,2000,500,mnist,gaussian,10.21654462814331,0.0012110813016294934,0.1862645149230957
5000,10000.0,2000,600,mnist,gaussian,10.21654462814331,0.001015591293258117,0.1862645149230957
5000,10000.0,2000,700,mnist,gaussian,10.21654462814331,0.0008904171259136703,0.1862645149230957
5000,10000.0,2000,800,mnist,gaussian,10.21654462814331,0.000802377453365973,0.1862645149230957
5000,10000.0,2000,900,mnist,gaussian,10.21654462814331,0.0007366800760146472,0.1862645149230957
5000,10000.0,2000,1000,mnist,gaussian,10.21654462814331,0.0006854544670615141,0.1862645149230957
5000,10000.0,2500,100,mnist,gaussian,16.558611154556274,0.006743451376818857,0.1862645149230957
5000,10000.0,2500,200,mnist,gaussian,16.558611154556274,0.0034106400540938817,0.1862645149230957
5000,10000.0,2500,300,mnist,gaussian,16.558611154556274,0.002155226981089443,0.1862645149230957
5000,10000.0,2500,400,mnist,gaussian,16.558611154556274,0.001508589536530186,0.1862645149230957
5000,10000.0,2500,500,mnist,gaussian,16.558611154556274,0.0011588712878712276,0.1862645149230957
5000,10000.0,2500,600,mnist,gaussian,16.558611154556274,0.0009552201874942083,0.1862645149230957
5000,10000.0,2500,700,mnist,gaussian,16.558611154556274,0.0008229132520148061,0.1862645149230957
5000,10000.0,2500,800,mnist,gaussian,16.558611154556274,0.0007283823450550252,0.1862645149230957
5000,10000.0,2500,900,mnist,gaussian,16.558611154556274,0.000656876685833788,0.1862645149230957
5000,10000.0,2500,1000,mnist,gaussian,16.558611154556274,0.0006005671619205335,0.1862645149230957
5000,10000.0,3000,100,mnist,gaussian,24.98041272163391,0.006737686088926266,0.1862645149230957
5000,10000.0,3000,200,mnist,gaussian,24.98041272163391,0.0033992105408921754,0.1862645149230957
5000,10000.0,3000,300,mnist,gaussian,24.98041272163391,0.0021381874399379517,0.1862645149230957
5000,10000.0,3000,400,mnist,gaussian,24.98041272163391,0.0014862140149870132,0.1862645149230957
5000,10000.0,3000,500,mnist,gaussian,24.98041272163391,0.0011313820552634564,0.1862645149230957
5000,10000.0,3000,600,mnist,gaussian,24.98041272163391,0.0009229672045234176,0.1862645149230957
5000,10000.0,3000,700,mnist,gaussian,24.98041272163391,0.0007863716876924249,0.1862645149230957
5000,10000.0,3000,800,mnist,gaussian,24.98041272163391,0.0006879517610533974,0.1862645149230957
5000,10000.0,3000,900,mnist,gaussian,24.98041272163391,0.0006129033132907945,0.1862645149230957
5000,10000.0,3000,1000,mnist,gaussian,24.98041272163391,0.0005532074424396614,0.1862645149230957
